,rating
645,4.0
646,4.0
648,4.0
650,4.0
651,5.0
653,4.5
654,4.0
655,4.5
656,4.0
659,3.5
660,4.0
662,4.0
663,4.5
664,4.0
666,4.0
667,4.0
668,4.5
670,4.0
671,4.5
672,4.0
673,4.0
674,4.5
676,4.5
678,4.0
679,4.0
680,4.0
681,4.0
683,4.5
685,4.0
686,4.5
688,4.5
689,4.0
690,3.5
691,4.5
692,4.5
693,4.0
702,4.0
704,4.5
706,4.5
707,4.0
708,4.0
709,4.5
710,3.0
712,4.0
713,5.0
714,3.5
715,4.0
716,4.5
718,4.0
719,3.5
720,4.5
722,4.0
723,4.5
724,4.0
726,3.5
728,4.5
729,4.0
730,4.0
732,3.5
733,4.5
734,4.0
736,4.0
738,4.5
739,4.0
740,3.5
743,4.5
744,3.5
745,4.5
746,4.0
747,4.0
748,4.5
754,4.0
755,3.5
756,4.0
757,4.5
758,4.0
759,4.5
760,4.0
761,4.5
763,4.0
765,4.0
766,4.0
768,3.5
769,4.5
771,3.5
772,4.0
774,4.0
776,4.0
778,4.0
780,4.0
781,4.0
782,3.5
783,4.0
786,4.0
787,4.0
788,3.0
789,4.5
790,4.5
791,4.5
792,4.0
794,4.0
795,4.5
796,4.0
797,4.5
798,4.5
799,3.5
801,4.5
802,4.0
804,4.0
806,4.5
807,3.5
809,4.0
810,3.5
811,4.0
812,3.0
816,4.0
820,4.5
822,4.0
824,4.0
825,4.0
826,3.5
829,4.0
830,4.0
832,4.0
833,4.0
834,4.0
835,4.0
836,4.0
838,4.0
840,4.0
841,4.5
844,4.0
846,3.5
850,4.0
851,3.0
852,3.5
853,3.5
855,4.0
856,3.5
858,4.0
860,4.0
863,4.0
864,4.0
865,4.0
866,4.0
867,4.5
868,4.0
870,4.5
872,4.5
875,4.0
876,4.0
882,4.0
883,4.5
884,4.5
885,4.0
886,4.5
887,4.0
890,4.0
891,4.5
892,4.5
893,4.0
896,3.5
899,4.5
900,4.5
901,3.5
904,4.0
906,4.0
907,4.0
909,4.5
911,4.5
913,4.5
914,3.5
915,4.0
923,3.5
924,4.0
926,4.0
929,4.5
930,4.0
933,3.0
934,3.5
937,4.5
940,4.0
945,4.5
952,4.0
953,4.5
955,4.0
957,4.0
958,4.0
960,3.5
961,3.5
962,4.5
963,4.5
964,4.5
965,4.0
967,4.0
968,3.5
969,4.5
971,4.0
972,4.5
975,4.5
976,4.0
977,4.0
981,3.5
982,4.5
984,3.5
986,4.5
989,4.0
991,4.0
993,4.5
998,3.5
999,5.0
